complaint_id,filed_on,resolved_on,ward,category,description,status,channel,priority,citizen_age,satisfaction_score
GRV-1511,2025-06-04,,Ward-19,Public Property,Stray dogs attacking residents near park,In Progress,Phone Call,Medium,47.0,nan
GRV-1512,2025-12-01,,Ward-03,Street Lighting,Short circuit sparks from street light,Open,Website,Medium,41.0,nan
GRV-1513,2024-12-25,,Ward-16,Road & Infrastructure,Broken footpath causing injury to pedestrians,In Progress,Phone Call,Medium,53.0,nan
GRV-1514,2025-06-12,2025-07-10,Ward-15,Noise & Pollution,Construction noise beyond permitted hours,Resolved,Phone Call,High,57.0,3.0
GRV-1515,2025-03-04,,,Noise & Pollution,Dust from road construction affecting residents,In Progress,Website,High,,nan
GRV-1516,2025-06-22,,Ward-10,Street Lighting,Electric pole fallen on road – dangerous,Open,Phone Call,Medium,51.0,nan
GRV-1517,2025-08-23,2025-09-13,Ward-11,Waste Management,Garbage truck does not come on schedule,Closed,Mobile App,Low,47.0,1.0
GRV-1518,2025-09-24,,Ward-06,Public Property,Stray dogs attacking residents near park,Open,Website,Medium,35.0,nan
GRV-1519,2024-12-30,,Ward-05,Street Lighting,Frequent power fluctuation in area,Rejected,Phone Call,Low,18.0,nan
GRV-1520,2025-11-08,2025-11-19,Ward-09,Road & Infrastructure,Large pothole causing accidents on highway,Resolved,Mobile App,Medium,,2.0
GRV-1521,2025-04-11,,Ward-10,Public Property,Public toilet locked / not accessible,Open,Walk-In,Medium,62.0,nan
GRV-1522,2025-06-13,,Ward-16,Water Supply,No water supply for 3 days,Open,Mobile App,Low,52.0,nan
GRV-1523,2025-11-07,2025-11-30,Ward-01,Waste Management,Garbage truck does not come on schedule,Resolved,Mobile App,Medium,24.0,5.0
GRV-1524,2025-11-09,,Ward-14,Noise & Pollution,Construction noise beyond permitted hours,Rejected,Walk-In,Medium,37.0,nan
GRV-1525,2025-01-17,,Ward-04,Waste Management,No waste bins available in the area,Open,Mobile App,Medium,36.0,nan
GRV-1526,2026-02-06,,Ward-05,Road & Infrastructure,Road completely waterlogged after rain,In Progress,Walk-In,Low,32.0,nan
GRV-1527,2025-10-02,2025-10-31,Ward-06,Sewage & Drainage,Sewage overflowing onto road,Resolved,Website,Medium,53.0,2.0
GRV-1528,2024-10-04,2024-10-27,Ward-20,Waste Management,Overflowing dustbin near bus stop,Closed,Website,High,70.0,5.0
GRV-1529,2025-06-11,,Ward-04,Water Supply,No water supply for 3 days,Open,WhatsApp,High,,nan
GRV-1530,2025-10-26,,Ward-05,Road & Infrastructure,Speed breaker removed without notice,Open,,Low,37.0,nan
GRV-1531,2025-09-07,,Ward-20,Public Property,Park benches broken and vandalised,Open,WhatsApp,High,55.0,nan
GRV-1532,2025-03-18,2025-04-05,Ward-10,Road & Infrastructure,Large pothole causing accidents on highway,Resolved,Walk-In,Medium,47.0,1.0
GRV-1533,2025-01-20,2025-02-19,Ward-10,Sewage & Drainage,Blocked drain causing flooding in colony,Resolved,Mobile App,High,65.0,4.0
GRV-1534,2026-03-12,,Ward-04,Noise & Pollution,Factory emitting foul-smelling smoke,In Progress,Walk-In,Medium,38.0,nan
GRV-1535,2025-04-20,,,Sewage & Drainage,Sewage overflowing onto road,In Progress,Mobile App,Critical,26.0,nan
GRV-1536,2026-02-17,,Ward-19,Road & Infrastructure,Road completely waterlogged after rain,In Progress,Website,Medium,64.0,nan
GRV-1537,2025-01-10,2025-01-29,Ward-03,Public Property,Public toilet locked / not accessible,Resolved,Mobile App,Medium,53.0,2.0
GRV-1538,2025-01-12,,Ward-02,Water Supply,Dirty/contaminated water coming from tap,Open,Website,Medium,23.0,nan
GRV-1539,2025-03-16,2025-03-18,Ward-14,Public Property,Encroachment on footpath by shop owners,Resolved,Website,Low,58.0,5.0
GRV-1540,2025-06-19,2025-07-06,Ward-09,Sewage & Drainage,Sewage mixing with drinking water pipeline,Resolved,Mobile App,Medium,66.0,5.0
GRV-1541,2025-04-01,,Ward-05,Sewage & Drainage,Blocked drain causing flooding in colony,Rejected,WhatsApp,Medium,43.0,nan
GRV-1542,2025-10-04,,,Sewage & Drainage,Sewage overflowing onto road,Open,Website,High,57.0,nan
GRV-1543,2025-06-27,,Ward-03,Noise & Pollution,Factory emitting foul-smelling smoke,Open,Website,Low,41.0,nan
GRV-1544,2025-03-17,,Ward-06,Sewage & Drainage,Sewage mixing with drinking water pipeline,Open,Mobile App,Low,44.0,nan
GRV-1545,2025-05-28,,Ward-12,Waste Management,Garbage not collected for a week,Open,WhatsApp,Medium,29.0,nan
GRV-1546,2026-01-01,,Ward-05,Noise & Pollution,Burning of garbage creating air pollution,Open,Phone Call,High,61.0,nan
GRV-1547,2025-08-09,,Ward-14,Water Supply,No water supply for 3 days,Open,Phone Call,Medium,73.0,nan
GRV-1548,2025-03-28,2025-04-25,,Road & Infrastructure,Road construction debris not cleared,Resolved,Website,Medium,50.0,5.0
GRV-1549,2025-08-27,,Ward-19,Road & Infrastructure,Large pothole causing accidents on highway,In Progress,Walk-In,Medium,23.0,nan
GRV-1550,2024-12-08,2025-01-07,Ward-04,Road & Infrastructure,Large pothole causing accidents on highway,Closed,Walk-In,High,67.0,3.0
GRV-1551,2025-04-15,2025-04-22,Ward-01,Water Supply,No water supply for 3 days,Closed,Walk-In,Low,21.0,4.0
GRV-1552,2025-10-26,2025-11-14,Ward-06,Road & Infrastructure,Speed breaker removed without notice,Closed,Mobile App,Medium,71.0,4.0
GRV-1553,2024-10-29,,Ward-08,Public Property,Stray dogs attacking residents near park,Open,Website,Critical,58.0,nan
GRV-1554,2025-04-20,2025-04-25,Ward-19,Road & Infrastructure,Broken footpath causing injury to pedestrians,Resolved,Phone Call,Low,45.0,5.0
GRV-1555,2024-12-21,,Ward-17,Public Property,Park benches broken and vandalised,Open,Mobile App,Critical,44.0,nan
GRV-1556,2025-10-22,2025-11-07,Ward-10,Water Supply,Water pipeline leakage on main road,Closed,Phone Call,Low,19.0,2.0
GRV-1557,2025-03-15,,Ward-10,Street Lighting,Street lights not working for 2 weeks,In Progress,WhatsApp,High,56.0,nan
GRV-1558,2025-02-25,,Ward-12,Public Property,Encroachment on footpath by shop owners,Open,WhatsApp,Critical,64.0,nan
GRV-1559,2025-02-11,2025-02-12,Ward-18,Noise & Pollution,Factory emitting foul-smelling smoke,Resolved,Walk-In,Low,49.0,1.0
GRV-1560,2025-12-17,,Ward-12,Street Lighting,Street lights not working for 2 weeks,Open,Mobile App,Critical,46.0,nan
GRV-1561,2025-03-03,2025-03-30,Ward-10,Water Supply,Water pipeline leakage on main road,Resolved,Mobile App,Low,39.0,5.0
GRV-1562,2025-06-05,,Ward-02,Waste Management,No waste bins available in the area,In Progress,Walk-In,High,,nan
GRV-1563,2025-07-28,2025-08-01,Ward-17,Water Supply,No water supply for 3 days,Closed,Website,High,36.0,4.0
GRV-1564,2024-12-12,,Ward-03,Road & Infrastructure,Speed breaker removed without notice,Rejected,WhatsApp,Low,49.0,nan
GRV-1565,2025-10-05,,Ward-19,Waste Management,No waste bins available in the area,Open,Mobile App,Medium,69.0,nan
GRV-1566,2025-10-02,,Ward-11,Waste Management,Overflowing dustbin near bus stop,Open,Website,High,26.0,nan
GRV-1567,2025-06-05,,Ward-09,Public Property,Tree fallen on parked vehicles,Open,Walk-In,Low,58.0,nan
GRV-1568,2026-02-05,2026-02-28,Ward-19,Waste Management,Overflowing dustbin near bus stop,Resolved,Mobile App,Low,64.0,1.0
GRV-1569,2025-10-01,,Ward-14,Waste Management,No waste bins available in the area,In Progress,Mobile App,Medium,57.0,nan
GRV-1570,2025-08-10,,Ward-15,Noise & Pollution,Factory emitting foul-smelling smoke,In Progress,Phone Call,High,47.0,nan
GRV-1571,2025-09-03,2025-09-30,Ward-10,Water Supply,Low water pressure in pipes,Resolved,WhatsApp,Low,30.0,3.0
GRV-1572,2026-02-06,,Ward-08,Noise & Pollution,Burning of garbage creating air pollution,Open,Phone Call,Medium,23.0,nan
GRV-1573,2025-04-05,,Ward-06,Water Supply,Dirty/contaminated water coming from tap,Open,Mobile App,Critical,60.0,nan
GRV-1574,2025-11-24,,Ward-18,Noise & Pollution,Loud music from nearby event venue,In Progress,Walk-In,Low,,nan
GRV-1575,2024-12-02,,Ward-02,Water Supply,Low water pressure in pipes,Open,Walk-In,Low,74.0,nan
GRV-1576,2024-12-27,,Ward-03,Noise & Pollution,Loud music from nearby event venue,In Progress,WhatsApp,Medium,72.0,nan
GRV-1577,2025-01-29,,Ward-03,Noise & Pollution,Construction noise beyond permitted hours,Open,Walk-In,Critical,65.0,nan
GRV-1578,2024-10-21,,Ward-11,Street Lighting,Frequent power fluctuation in area,Open,Mobile App,Low,64.0,nan
GRV-1579,2024-12-08,,,Street Lighting,Street lights not working for 2 weeks,Open,WhatsApp,Medium,44.0,nan
GRV-1580,2025-07-04,,Ward-13,Public Property,Stray dogs attacking residents near park,In Progress,Website,Low,41.0,nan
GRV-1581,2025-03-26,,Ward-15,Waste Management,Overflowing dustbin near bus stop,Open,Walk-In,Low,50.0,nan
GRV-1582,2025-02-14,,Ward-10,Sewage & Drainage,Sewage mixing with drinking water pipeline,Open,Website,Medium,56.0,nan
GRV-1583,2025-11-30,,Ward-09,Sewage & Drainage,Manhole cover missing – safety hazard,Open,Website,Low,33.0,nan
GRV-1584,2025-12-31,,Ward-18,Waste Management,Garbage truck does not come on schedule,Open,Mobile App,Critical,30.0,nan
GRV-1585,2026-02-07,,Ward-16,Noise & Pollution,Burning of garbage creating air pollution,In Progress,Phone Call,Critical,,nan
GRV-1586,2026-01-28,,Ward-06,Sewage & Drainage,Foul smell from open drainage channel,In Progress,Mobile App,Medium,39.0,nan
GRV-1587,2025-05-23,2025-06-18,Ward-09,Waste Management,Garbage not collected for a week,Closed,Mobile App,High,27.0,3.0
GRV-1588,2025-05-22,,Ward-19,Street Lighting,Broken street light reported multiple times,In Progress,Walk-In,Critical,72.0,nan
GRV-1589,2025-01-26,2025-02-03,Ward-09,Water Supply,Low water pressure in pipes,Resolved,WhatsApp,High,60.0,1.0
GRV-1590,2026-01-24,2026-02-08,Ward-08,Public Property,Park benches broken and vandalised,Resolved,WhatsApp,High,59.0,2.0
GRV-1591,2025-09-19,,Ward-06,Noise & Pollution,Loud music from nearby event venue,In Progress,Walk-In,Low,,nan
GRV-1592,2025-12-07,2025-12-14,Ward-01,Road & Infrastructure,Broken footpath causing injury to pedestrians,Closed,Phone Call,Critical,41.0,5.0
GRV-1593,2025-08-21,,Ward-07,Sewage & Drainage,Blocked drain causing flooding in colony,In Progress,Website,Medium,66.0,nan
GRV-1594,2026-03-13,,Ward-02,Waste Management,No waste bins available in the area,Open,Walk-In,Medium,20.0,nan
GRV-1595,2025-11-20,,Ward-11,Water Supply,Water meter not working properly,In Progress,WhatsApp,Low,71.0,nan
GRV-1596,2025-01-01,2025-01-20,Ward-11,Waste Management,Illegal dumping of waste on street,Resolved,Mobile App,Low,61.0,1.0
GRV-1597,2025-04-17,2025-04-19,Ward-17,Sewage & Drainage,Blocked drain causing flooding in colony,Resolved,Phone Call,Critical,58.0,3.0
GRV-1598,2025-02-16,,Ward-11,Road & Infrastructure,Speed breaker removed without notice,In Progress,Phone Call,Medium,,nan
GRV-1599,2026-03-18,2026-03-26,Ward-16,Waste Management,No waste bins available in the area,Resolved,Phone Call,Low,53.0,4.0
GRV-1600,2024-11-18,2024-12-01,Ward-08,Sewage & Drainage,Sewage mixing with drinking water pipeline,Resolved,WhatsApp,High,71.0,5.0
GRV-1601,2025-08-19,2025-08-27,Ward-10,Street Lighting,Electric pole fallen on road – dangerous,Resolved,Walk-In,Low,72.0,3.0
GRV-1602,2025-01-30,,Ward-19,Water Supply,Water meter not working properly,In Progress,Mobile App,Low,47.0,nan
GRV-1603,2025-09-13,,Ward-19,Road & Infrastructure,Road construction debris not cleared,Open,Mobile App,Critical,73.0,nan
GRV-1604,2025-02-13,2025-03-01,Ward-08,Waste Management,Illegal dumping of waste on street,Resolved,Phone Call,Critical,62.0,2.0
GRV-1605,2026-02-12,2026-02-24,Ward-11,Waste Management,Garbage not collected for a week,Resolved,Website,Low,46.0,4.0
GRV-1606,2025-06-22,2025-07-18,Ward-12,Waste Management,Overflowing dustbin near bus stop,Resolved,Phone Call,High,34.0,3.0
GRV-1607,2026-02-02,,Ward-15,Public Property,Park benches broken and vandalised,Open,Website,Critical,59.0,nan
GRV-1608,2025-06-26,2025-07-04,Ward-12,Street Lighting,Short circuit sparks from street light,Closed,WhatsApp,Medium,74.0,3.0
GRV-1609,2025-10-21,2025-11-02,Ward-19,Noise & Pollution,Loud music from nearby event venue,Resolved,Walk-In,Low,28.0,1.0
GRV-1610,2026-02-26,,Ward-11,Water Supply,No water supply for 3 days,Open,Phone Call,Critical,40.0,nan
GRV-1611,2025-10-19,,Ward-13,Water Supply,Dirty/contaminated water coming from tap,Open,Walk-In,High,20.0,nan
GRV-1612,2025-02-06,,Ward-20,Sewage & Drainage,Sewage overflowing onto road,Open,Website,High,38.0,nan
GRV-1613,2025-12-11,2026-01-03,Ward-14,Street Lighting,Frequent power fluctuation in area,Resolved,Walk-In,Low,72.0,4.0
GRV-1614,2025-09-05,,Ward-14,Road & Infrastructure,Road completely waterlogged after rain,Rejected,WhatsApp,High,18.0,nan
GRV-1615,2025-11-09,,Ward-10,Public Property,Encroachment on footpath by shop owners,Open,Phone Call,Low,73.0,nan
GRV-1616,2024-11-25,,Ward-16,Water Supply,Water pipeline leakage on main road,In Progress,Walk-In,Low,46.0,nan
GRV-1617,2025-05-18,,Ward-20,Water Supply,Water pipeline leakage on main road,Open,Website,Low,50.0,nan
GRV-1618,2025-07-03,,Ward-10,Water Supply,Low water pressure in pipes,Open,Mobile App,Medium,44.0,nan
GRV-1619,2025-12-25,2026-01-09,Ward-16,Water Supply,Dirty/contaminated water coming from tap,Resolved,Website,High,33.0,1.0
GRV-1620,2026-01-02,2026-01-13,Ward-13,Road & Infrastructure,Large pothole causing accidents on highway,Resolved,Walk-In,Medium,47.0,5.0
GRV-1621,2025-03-15,,,Street Lighting,Electric pole fallen on road – dangerous,Open,Mobile App,Low,66.0,nan
GRV-1622,2025-12-16,,Ward-09,Street Lighting,Electric pole fallen on road – dangerous,Open,WhatsApp,Low,38.0,nan
GRV-1623,2026-03-21,,Ward-12,Noise & Pollution,Construction noise beyond permitted hours,Open,WhatsApp,Medium,36.0,nan
GRV-1624,2025-07-03,,Ward-02,Noise & Pollution,Dust from road construction affecting residents,Open,Website,High,28.0,nan
GRV-1625,2025-04-09,2025-04-21,Ward-16,Street Lighting,Broken street light reported multiple times,Resolved,WhatsApp,High,67.0,1.0
GRV-1626,2025-03-19,,Ward-02,Street Lighting,Electric pole fallen on road – dangerous,Open,WhatsApp,Medium,28.0,nan
GRV-1627,2025-03-04,2025-03-27,Ward-20,Sewage & Drainage,Sewage mixing with drinking water pipeline,Resolved,Walk-In,Low,28.0,5.0
GRV-1628,2025-09-08,,Ward-06,Noise & Pollution,Loud music from nearby event venue,Open,Walk-In,High,,nan
GRV-1629,2024-12-03,,Ward-14,Waste Management,Garbage not collected for a week,In Progress,Walk-In,Critical,57.0,nan
GRV-1630,2025-01-01,2025-01-19,Ward-09,Public Property,Public toilet locked / not accessible,Resolved,Phone Call,Critical,,3.0
GRV-1631,2024-11-12,,Ward-18,Noise & Pollution,Construction noise beyond permitted hours,Open,Website,Medium,37.0,nan
GRV-1632,2025-03-05,,Ward-01,Noise & Pollution,Burning of garbage creating air pollution,In Progress,WhatsApp,Medium,30.0,nan
GRV-1633,2025-12-12,,Ward-05,Noise & Pollution,Loud music from nearby event venue,Open,Walk-In,Medium,57.0,nan
GRV-1634,2024-10-08,2024-10-25,Ward-19,Sewage & Drainage,Sewage overflowing onto road,Closed,Mobile App,High,37.0,3.0
GRV-1635,2026-03-03,2026-03-27,Ward-14,Noise & Pollution,Dust from road construction affecting residents,Closed,Phone Call,Medium,65.0,1.0
GRV-1636,2025-03-28,2025-04-12,,Street Lighting,Broken street light reported multiple times,Resolved,Mobile App,Low,48.0,5.0
GRV-1637,2025-10-01,2025-10-24,Ward-13,Street Lighting,Frequent power fluctuation in area,Resolved,Mobile App,Medium,29.0,2.0
GRV-1638,2025-09-15,,Ward-16,Road & Infrastructure,Road completely waterlogged after rain,Open,Phone Call,High,,nan
GRV-1639,2025-07-03,2025-07-23,Ward-10,Water Supply,Dirty/contaminated water coming from tap,Resolved,Phone Call,Low,32.0,3.0
GRV-1640,2025-07-23,,,Street Lighting,Street lights not working for 2 weeks,Rejected,Walk-In,Low,28.0,nan
GRV-1641,2024-11-29,2024-12-03,Ward-11,Public Property,Stray dogs attacking residents near park,Resolved,Phone Call,High,,5.0
GRV-1642,2024-12-25,,Ward-07,Sewage & Drainage,Sewage overflowing onto road,Open,Website,High,55.0,nan
GRV-1643,2024-10-31,2024-11-30,Ward-02,Noise & Pollution,Dust from road construction affecting residents,Closed,WhatsApp,High,22.0,2.0
GRV-1644,2025-11-28,2025-12-10,Ward-13,Water Supply,Dirty/contaminated water coming from tap,Resolved,Walk-In,High,65.0,1.0
GRV-1645,2024-12-04,,Ward-07,Sewage & Drainage,Sewage mixing with drinking water pipeline,Open,Walk-In,High,74.0,nan
GRV-1646,2025-04-02,,Ward-12,Waste Management,Garbage not collected for a week,In Progress,Walk-In,Low,42.0,nan
GRV-1647,2025-11-03,,Ward-04,Noise & Pollution,Loud music from nearby event venue,In Progress,Mobile App,Low,72.0,nan
GRV-1648,2024-11-01,,Ward-16,Street Lighting,Broken street light reported multiple times,In Progress,WhatsApp,Medium,44.0,nan
GRV-1649,2025-04-19,2025-05-08,Ward-09,Road & Infrastructure,Road completely waterlogged after rain,Resolved,Mobile App,Low,24.0,2.0
GRV-1650,2025-12-13,,Ward-19,Street Lighting,Street lights not working for 2 weeks,Open,Walk-In,High,49.0,nan
GRV-1651,2025-05-17,2025-06-14,Ward-09,Public Property,Public toilet locked / not accessible,Resolved,Website,Medium,43.0,4.0
GRV-1652,2024-12-11,,Ward-05,Noise & Pollution,Construction noise beyond permitted hours,In Progress,Walk-In,Medium,55.0,nan
GRV-1653,2024-11-22,,Ward-10,Water Supply,Low water pressure in pipes,Open,Phone Call,Medium,62.0,nan
GRV-1654,2025-11-26,,Ward-07,Street Lighting,Electric pole fallen on road – dangerous,In Progress,Website,Medium,74.0,nan
GRV-1655,2025-10-22,,Ward-04,Sewage & Drainage,Sewage mixing with drinking water pipeline,In Progress,Mobile App,Medium,48.0,nan
GRV-1656,2025-08-04,,Ward-20,Public Property,Tree fallen on parked vehicles,In Progress,WhatsApp,Low,38.0,nan
GRV-1657,2026-03-09,,Ward-11,Public Property,Park benches broken and vandalised,In Progress,Phone Call,Medium,66.0,nan
GRV-1658,2025-09-02,,Ward-10,Noise & Pollution,Burning of garbage creating air pollution,Open,Walk-In,Low,32.0,nan
GRV-1659,2025-08-24,2025-09-07,Ward-20,Noise & Pollution,Factory emitting foul-smelling smoke,Closed,Website,Medium,25.0,2.0
GRV-1660,2025-01-19,2025-02-05,Ward-16,Public Property,Public toilet locked / not accessible,Resolved,Phone Call,Low,45.0,2.0
GRV-1661,2026-02-23,,Ward-02,Street Lighting,Short circuit sparks from street light,In Progress,WhatsApp,High,49.0,nan
GRV-1662,2025-03-20,,,Sewage & Drainage,Blocked drain causing flooding in colony,Open,Walk-In,Medium,72.0,nan
GRV-1663,2025-02-20,2025-03-13,Ward-12,Public Property,Stray dogs attacking residents near park,Closed,WhatsApp,Medium,40.0,1.0
GRV-1664,2025-08-04,,Ward-04,Waste Management,Garbage truck does not come on schedule,Open,Website,Low,,nan
GRV-1665,2025-06-22,2025-07-05,Ward-06,Road & Infrastructure,Road construction debris not cleared,Resolved,Phone Call,Medium,31.0,3.0
GRV-1666,2025-04-08,,Ward-10,Waste Management,Illegal dumping of waste on street,Open,Website,High,59.0,nan
GRV-1667,2025-06-30,,Ward-10,Road & Infrastructure,Broken footpath causing injury to pedestrians,Open,Website,High,38.0,nan
GRV-1668,2026-02-05,2026-02-14,Ward-19,Street Lighting,Street lights not working for 2 weeks,Closed,WhatsApp,Critical,66.0,3.0
GRV-1669,2025-02-26,2025-03-17,Ward-17,Water Supply,Water pipeline leakage on main road,Closed,Mobile App,High,56.0,1.0
GRV-1670,2024-10-06,,Ward-02,Street Lighting,Broken street light reported multiple times,Open,Walk-In,Low,19.0,nan
GRV-1671,2025-10-06,,Ward-19,Waste Management,Illegal dumping of waste on street,In Progress,Website,Low,66.0,nan
GRV-1672,2025-06-26,2025-07-05,,Noise & Pollution,Factory emitting foul-smelling smoke,Resolved,Website,Medium,53.0,3.0
GRV-1673,2025-04-04,2025-04-28,Ward-01,Waste Management,Illegal dumping of waste on street,Resolved,Website,Low,45.0,2.0
GRV-1674,2025-12-21,,Ward-06,Noise & Pollution,Factory emitting foul-smelling smoke,In Progress,Website,High,67.0,nan
GRV-1675,2025-02-14,,Ward-14,Noise & Pollution,Construction noise beyond permitted hours,Open,Website,Medium,48.0,nan
GRV-1676,2026-03-21,,Ward-18,Street Lighting,Short circuit sparks from street light,Open,Walk-In,High,41.0,nan
GRV-1677,2024-12-12,2024-12-22,Ward-17,Water Supply,Dirty/contaminated water coming from tap,Resolved,Walk-In,Low,36.0,5.0
GRV-1678,2025-04-13,,Ward-12,Water Supply,Low water pressure in pipes,Open,Phone Call,Low,32.0,nan
GRV-1679,2025-07-09,,Ward-06,Street Lighting,Broken street light reported multiple times,In Progress,Mobile App,High,67.0,nan
GRV-1680,2024-12-26,,Ward-17,Road & Infrastructure,Broken footpath causing injury to pedestrians,In Progress,WhatsApp,Medium,71.0,nan
GRV-1681,2025-10-13,,Ward-16,Street Lighting,Frequent power fluctuation in area,Open,Phone Call,High,69.0,nan
GRV-1682,2026-01-24,,Ward-08,Waste Management,No waste bins available in the area,Open,Walk-In,Low,63.0,nan
GRV-1683,2024-12-09,,Ward-04,Water Supply,Water meter not working properly,In Progress,Phone Call,High,,nan
GRV-1684,2026-03-14,,Ward-09,Noise & Pollution,Construction noise beyond permitted hours,In Progress,WhatsApp,Medium,57.0,nan
GRV-1685,2025-05-30,2025-06-07,Ward-01,Sewage & Drainage,Sewage overflowing onto road,Resolved,Mobile App,Medium,72.0,5.0
GRV-1686,2025-05-25,,Ward-18,Street Lighting,Short circuit sparks from street light,In Progress,Phone Call,Medium,62.0,nan
GRV-1687,2026-02-26,2026-03-28,Ward-01,Waste Management,Overflowing dustbin near bus stop,Resolved,Phone Call,Medium,28.0,4.0
GRV-1688,2025-12-19,,Ward-20,Water Supply,Water meter not working properly,Open,Walk-In,Medium,47.0,nan
GRV-1689,2026-02-07,2026-03-04,Ward-04,Water Supply,Water meter not working properly,Resolved,Phone Call,Low,29.0,5.0
GRV-1690,2025-01-19,,Ward-07,Water Supply,Water pipeline leakage on main road,Open,Phone Call,High,59.0,nan
GRV-1691,2025-08-31,2025-09-13,Ward-10,Waste Management,Illegal dumping of waste on street,Resolved,Walk-In,Low,33.0,1.0
GRV-1692,2026-03-13,2026-03-19,Ward-16,Street Lighting,Frequent power fluctuation in area,Resolved,Phone Call,Low,34.0,5.0
GRV-1693,2025-03-12,2025-04-10,Ward-19,Water Supply,No water supply for 3 days,Closed,Website,Low,32.0,3.0
GRV-1694,2025-06-26,,Ward-04,Water Supply,Water meter not working properly,Open,Phone Call,Medium,,nan
GRV-1695,2025-11-11,,Ward-02,Street Lighting,Electric pole fallen on road – dangerous,Open,Mobile App,High,22.0,nan
GRV-1696,2025-12-22,2026-01-16,Ward-12,Noise & Pollution,Construction noise beyond permitted hours,Closed,Phone Call,Medium,31.0,4.0
GRV-1697,2025-11-03,2025-11-15,Ward-02,Water Supply,No water supply for 3 days,Closed,Mobile App,High,,3.0
GRV-1698,2025-01-30,,Ward-15,Public Property,Public toilet locked / not accessible,Open,WhatsApp,Low,34.0,nan
GRV-1699,2024-12-04,,Ward-11,Public Property,Park benches broken and vandalised,In Progress,Walk-In,Low,23.0,nan
GRV-1700,2026-01-06,,Ward-13,Street Lighting,Short circuit sparks from street light,Open,Website,High,33.0,nan
GRV-1701,2025-12-03,,Ward-02,Public Property,Public toilet locked / not accessible,Open,Walk-In,Low,19.0,nan
GRV-1702,2025-03-08,2025-03-16,Ward-15,Sewage & Drainage,Manhole cover missing – safety hazard,Resolved,Walk-In,Medium,24.0,3.0
GRV-1703,2025-01-11,2025-01-14,Ward-05,Noise & Pollution,Burning of garbage creating air pollution,Resolved,Website,Critical,47.0,2.0
GRV-1704,2025-04-15,,Ward-03,Water Supply,Water pipeline leakage on main road,In Progress,Phone Call,Medium,51.0,nan
GRV-1705,2025-12-27,2026-01-25,,Water Supply,Water meter not working properly,Resolved,WhatsApp,High,63.0,5.0
GRV-1706,2024-10-06,,Ward-20,Waste Management,Illegal dumping of waste on street,In Progress,Mobile App,Medium,57.0,nan
GRV-1707,2025-04-20,,Ward-13,Public Property,Public toilet locked / not accessible,In Progress,Walk-In,High,20.0,nan
GRV-1708,2025-11-05,,Ward-06,Sewage & Drainage,Sewage mixing with drinking water pipeline,Open,WhatsApp,High,34.0,nan
GRV-1709,2025-11-20,2025-12-12,Ward-03,Noise & Pollution,Loud music from nearby event venue,Closed,Website,Medium,18.0,3.0
GRV-1710,2026-02-27,,Ward-08,Road & Infrastructure,Broken footpath causing injury to pedestrians,Open,WhatsApp,Medium,31.0,nan
GRV-1711,2025-06-08,,Ward-15,Street Lighting,Frequent power fluctuation in area,Open,WhatsApp,Medium,36.0,nan
GRV-1712,2024-11-16,,Ward-04,Noise & Pollution,Loud music from nearby event venue,In Progress,Website,High,42.0,nan
GRV-1713,2025-06-05,,Ward-02,Water Supply,No water supply for 3 days,In Progress,WhatsApp,Medium,31.0,nan
GRV-1714,2025-10-10,2025-10-13,Ward-20,Noise & Pollution,Construction noise beyond permitted hours,Resolved,Phone Call,High,69.0,2.0
GRV-1715,2025-01-07,2025-01-29,Ward-15,Sewage & Drainage,Blocked drain causing flooding in colony,Resolved,Phone Call,Medium,62.0,1.0
GRV-1716,2025-12-22,2026-01-16,Ward-11,Water Supply,Low water pressure in pipes,Resolved,WhatsApp,High,59.0,3.0
GRV-1717,2025-08-27,2025-08-30,Ward-12,Sewage & Drainage,Manhole cover missing – safety hazard,Resolved,,High,70.0,1.0
GRV-1718,2025-09-29,2025-10-09,Ward-08,Water Supply,No water supply for 3 days,Resolved,Mobile App,Medium,29.0,4.0
GRV-1719,2026-01-17,,Ward-12,Noise & Pollution,Burning of garbage creating air pollution,In Progress,Mobile App,Low,25.0,nan
GRV-1720,2024-10-12,,Ward-14,Waste Management,No waste bins available in the area,Open,Mobile App,Low,34.0,nan
GRV-1721,2026-03-04,,Ward-13,Waste Management,Overflowing dustbin near bus stop,Open,Walk-In,Medium,,nan
GRV-1722,2025-11-04,2025-11-24,Ward-04,Noise & Pollution,Factory emitting foul-smelling smoke,Resolved,Website,Low,54.0,4.0
GRV-1723,2025-12-05,,Ward-15,Public Property,Encroachment on footpath by shop owners,Open,Website,Medium,59.0,nan
GRV-1724,2024-10-27,,Ward-01,Sewage & Drainage,Blocked drain causing flooding in colony,Rejected,WhatsApp,High,42.0,nan
GRV-1725,2025-05-12,2025-05-16,Ward-16,Sewage & Drainage,Manhole cover missing – safety hazard,Resolved,WhatsApp,High,47.0,2.0
GRV-1726,2025-12-01,,Ward-05,Waste Management,Garbage truck does not come on schedule,Open,Mobile App,Medium,39.0,nan
GRV-1727,2025-01-24,2025-02-02,Ward-17,Sewage & Drainage,Sewage mixing with drinking water pipeline,Closed,Website,Medium,49.0,2.0
GRV-1728,2026-03-01,,Ward-11,Sewage & Drainage,Blocked drain causing flooding in colony,Open,Phone Call,Medium,,nan
